word,IPA
සහභාගිත්ත්වයෙන්,s ʌ h ʌ bʱ aː ɡ i t̪ t̪ ʋ ʌ j e n̪
සහභාගිත්නයෙන්,s ʌ h ʌ bʱ aː ɡ i t̪ n̪ ʌ j e n̪
සහභාගිත්ව,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ə
සහභාගිත්වයකට,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j ʌ k ʌ ʈ ə
සහභාගිත්වයකින්,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j ʌ k i n̪
සහභාගිත්වයක්,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j ʌ k
සහභාගිත්වයට,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j ʌ ʈ ə
සහභාගිත්වයත්,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j ʌ t̪
සහභාගිත්වයද,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j ʌ d̪ ə
සහභාගිත්වයන්,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j ʌ n̪
සහභාගිත්වයෙනි,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j e n̪ i
සහභාගිත්වයෙන්,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j e n̪
සහභාගිත්වයේ,s ʌ h ʌ bʱ aː ɡ i t̪ ʋ ʌ j eː
සහභාගිය,s ʌ h ʌ bʱ aː ɡ i j ə
සහභාගිවන,s ʌ h ʌ bʱ aː ɡ i ʋ ʌ n̪ ə
සහභාගිවනු,s ʌ h ʌ bʱ aː ɡ i ʋ ʌ n̪ u
සහභාගිවන්න,s ʌ h ʌ bʱ aː ɡ i ʋ ʌ n̪ n̪ ə
සහභාගිවන්නට,s ʌ h ʌ bʱ aː ɡ i ʋ ʌ n̪ n̪ ʌ ʈ ə
සහභාගිවන්නන්,s ʌ h ʌ bʱ aː ɡ i ʋ ʌ n̪ n̪ ʌ n̪
සහභාගිවන්නන්ගේ,s ʌ h ʌ bʱ aː ɡ i ʋ ʌ n̪ n̪ ʌ n̪ ɡ eː
සහභාගිවන්නන්ට,s ʌ h ʌ bʱ aː ɡ i ʋ ʌ n̪ n̪ ʌ n̪ ʈ ə
සහභාගිවන්නේ,s ʌ h ʌ bʱ aː ɡ i ʋ ʌ n̪ n̪ eː
සහභාගිවි,s ʌ h ʌ bʱ aː ɡ i ʋ i
සහභාගිවිම,s ʌ h ʌ bʱ aː ɡ i ʋ i m ə
සහභාගිවිය,s ʌ h ʌ bʱ aː ɡ i ʋ i j ə
සහභාගිවී,s ʌ h ʌ bʱ aː ɡ i ʋ iː
සහභාගිවීම,s ʌ h ʌ bʱ aː ɡ i ʋ iː m ə
සහභාගිවීමට,s ʌ h ʌ bʱ aː ɡ i ʋ iː m ʌ ʈ ə
සහභාගිවීමටද,s ʌ h ʌ bʱ aː ɡ i ʋ iː m ʌ ʈ ʌ d̪ ə
සහභාගිවීමත්,s ʌ h ʌ bʱ aː ɡ i ʋ iː m ʌ t̪
සහභාගිවීමය,s ʌ h ʌ bʱ aː ɡ i ʋ iː m ʌ j ə
සහභාගිවීමෙන්,s ʌ h ʌ bʱ aː ɡ i ʋ iː m e n̪
සහභාගිවීමේ,s ʌ h ʌ bʱ aː ɡ i ʋ iː m eː
සහභාගිවු,s ʌ h ʌ bʱ aː ɡ i ʋ u
සහභාගිවුණා,s ʌ h ʌ bʱ aː ɡ i ʋ u ɳ
සහභාගිවුහ,s ʌ h ʌ bʱ aː ɡ i ʋ u h ə
සහභාගිවූ,s ʌ h ʌ bʱ aː ɡ i ʋ uː
සහභාගිවූයේ,s ʌ h ʌ bʱ aː ɡ i ʋ uː j eː
සහභාගිවූවන්ගේ,s ʌ h ʌ bʱ aː ɡ i ʋ uː ʋ ʌ n̪ ɡ eː
සහභාගිවූහ,s ʌ h ʌ bʱ aː ɡ i ʋ uː h ə
සහභාගිවෙති,s ʌ h ʌ bʱ aː ɡ i ʋ e t̪ i
සහභාගිවෙන්න,s ʌ h ʌ bʱ aː ɡ i ʋ e n̪ n̪ ə
සහභාගිවෙමිනි,s ʌ h ʌ bʱ aː ɡ i ʋ e m i n̪ i
සහභාගිවෙමින්,s ʌ h ʌ bʱ aː ɡ i ʋ e m i n̪
සහභාගිවෙයි,s ʌ h ʌ bʱ aː ɡ i ʋ e j i
සහභාගිවෙලා,s ʌ h ʌ bʱ aː ɡ i ʋ e l
සහභාගිවේ,s ʌ h ʌ bʱ aː ɡ i ʋ eː
සහභාගිී,s ʌ h ʌ bʱ aː ɡ i iː
සහභාගී,s ʌ h ʌ bʱ aː ɡ iː
සහභාගීකර,s ʌ h ʌ bʱ aː ɡ iː k ʌ r ə
සහභාගීකරවා,s ʌ h ʌ bʱ aː ɡ iː k ʌ r ʌ ʋ a
සහභාගීකරුවන්,s ʌ h ʌ bʱ aː ɡ iː k ʌ r u ʋ ʌ n̪
සහභාගීකරුවෝ,s ʌ h ʌ bʱ aː ɡ iː k ʌ r u ʋ oː
සහභාගීත්වක්,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ k
සහභාගීත්වය,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ j ə
සහභාගීත්වයකින්,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ j ʌ k i n̪
සහභාගීත්වයක්,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ j ʌ k
සහභාගීත්වයද,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ j ʌ d̪ ə
සහභාගීත්වයන්,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ j ʌ n̪
සහභාගීත්වයෙනි,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ j e n̪ i
සහභාගීත්වයෙන්,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ j e n̪
සහභාගීත්වයේ,s ʌ h ʌ bʱ aː ɡ iː t̪ ʋ ʌ j eː
සහභාගීව,s ʌ h ʌ bʱ aː ɡ iː ʋ ə
සහභාගීවන,s ʌ h ʌ bʱ aː ɡ iː ʋ ʌ n̪ ə
සහභාගීවන්නන්ට,s ʌ h ʌ bʱ aː ɡ iː ʋ ʌ n̪ n̪ ʌ n̪ ʈ ə
සහභාගීවන්නේ,s ʌ h ʌ bʱ aː ɡ iː ʋ ʌ n̪ n̪ eː
සහභාගීවිය,s ʌ h ʌ bʱ aː ɡ iː ʋ i j ə
සහභාගීවී,s ʌ h ʌ bʱ aː ɡ iː ʋ iː
සහභාගීවීම,s ʌ h ʌ bʱ aː ɡ iː ʋ iː m ə
සහභාගීවීමට,s ʌ h ʌ bʱ aː ɡ iː ʋ iː m ʌ ʈ ə
සහභාගීවීමේ,s ʌ h ʌ bʱ aː ɡ iː ʋ iː m eː
සහභාගීවූ,s ʌ h ʌ bʱ aː ɡ iː ʋ uː
සහභාගීවූවන්ගෙන්,s ʌ h ʌ bʱ aː ɡ iː ʋ uː ʋ ʌ n̪ ɡ e n̪
සහභාගීවූවන්ගේ,s ʌ h ʌ bʱ aː ɡ iː ʋ uː ʋ ʌ n̪ ɡ eː
සහභාගීවූහ,s ʌ h ʌ bʱ aː ɡ iː ʋ uː h ə
සහභාගීවෙති,s ʌ h ʌ bʱ aː ɡ iː ʋ e t̪ i
සහභාගීවෙන,s ʌ h ʌ bʱ aː ɡ iː ʋ e n̪ ə
සහභාගීවෙමින්,s ʌ h ʌ bʱ aː ɡ iː ʋ e m i n̪
සහභාගීවෙලා,s ʌ h ʌ bʱ aː ɡ iː ʋ e l
සහභාඟි,s ʌ h ʌ bʱ aː ŋɡ i
සහභාලි,s ʌ h ʌ bʱ aː l i
සහභාව,s ʌ h ʌ bʱ aː ʋ ə
සහභාවයට,s ʌ h ʌ bʱ aː ʋ ʌ j ʌ ʈ ə
සහභාවෙන,s ʌ h ʌ bʱ aː ʋ e n̪ ə
සහමත්තේ,s ʌ h ʌ m ʌ t̪ t̪ eː
සහමනුෂ්‍ය,s ʌ h ʌ m ʌ n̪ u ʂ ‍ j ə
සහමන්ත්‍රණ,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ə
සහමන්ත්‍රණකරුවන්,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ k ʌ r u ʋ ʌ n̪
සහමන්ත්‍රණය,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ j ə
සහමන්ත්‍රණයට,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ j ʌ ʈ ə
සහමන්ත්‍රණයණී,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ j ʌ ɳ iː
සහමන්ත්‍රණයයි,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ j ʌ j i
සහමන්ත්‍රණයෙන්,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ j e n̪
සහමන්ත්‍රණයේ,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ j eː
සහමන්ත්‍රණයේදී,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ j eː d̪ iː
සහමන්ත්‍රණවල,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ ʋ ʌ l ə
සහමන්ත්‍රණවලට,s ʌ h ʌ m ʌ n̪ t̪ ‍ r ʌ ɳ ʌ ʋ ʌ l ʌ ʈ ə
සහමපති,s ʌ h ʌ m ʌ p ʌ t̪ i
සහමපතීසම්පන්න,s ʌ h ʌ m ʌ p ʌ t̪ iː s ʌ m p ʌ n̪ n̪ ə
සහමාසික,s ʌ h ʌ m aː s i k ə
සහමික්මෙත්,s ʌ h ʌ m i k m e t̪
සහමුලින්ම,s ʌ h ʌ m u l i n̪ m ə
සහමුළින්ම,s ʌ h ʌ m u ɭ i n̪ m ə
සහමූහික,s ʌ h ʌ m uː h i k ə
සහම්,s ʌ h ʌ m
සහම්පති,s ʌ h ʌ m p ʌ t̪ i
සහම්පතී,s ʌ h ʌ m p ʌ t̪ iː
සහයකට,s ʌ h ʌ j ʌ k ʌ ʈ ə
සහයකත්,s ʌ h ʌ j ʌ k ʌ t̪
සහයකයකු,s ʌ h ʌ j ʌ k ʌ j ʌ k u
සහයකයත්,s ʌ h ʌ j ʌ k ʌ j ʌ t̪
සහයකයන්,s ʌ h ʌ j ʌ k ʌ j ʌ n̪
සහයකයාත්,s ʌ h ʌ j ʌ k ʌ j aː t̪
සහයකයෙකු,s ʌ h ʌ j ʌ k ʌ j e k u
සහයකි,s ʌ h ʌ j ʌ k i
සහයක්,s ʌ h ʌ j ʌ k
සහයක්ද,s ʌ h ʌ j ʌ k d̪ ə
සහයට,s ʌ h ʌ j ʌ ʈ ə
සහයටත්,s ʌ h ʌ j ʌ ʈ ʌ t̪
සහයත්,s ʌ h ʌ j ʌ t̪
සහයද,s ʌ h ʌ j ʌ d̪ ə
සහයදී,s ʌ h ʌ j ʌ d̪ iː
සහයදීම,s ʌ h ʌ j ʌ d̪ iː m ə
සහයදෙන,s ʌ h ʌ j ʌ d̪ e n̪ ə
සහයනයට,s ʌ h ʌ j ʌ n̪ ʌ j ʌ ʈ ə
සහයනි,s ʌ h ʌ j ʌ n̪ i
සහයම,s ʌ h ʌ j ʌ m ə
සහයවීම,s ʌ h ʌ j ʌ ʋ iː m ə
සහයා,s ʌ h ʌ j
සහයි,s ʌ h ʌ j i
සහයිකාවන්,s ʌ h ʌ j i k aː ʋ ʌ n̪
සහයිකාවෝ,s ʌ h ʌ j i k aː ʋ oː
සහයෙන්,s ʌ h ʌ j e n̪
සහයො,s ʌ h ʌ j o
සහයොගීත්වය,s ʌ h ʌ j o ɡ iː t̪ ʋ ʌ j ə
සහයොදවා,s ʌ h ʌ j o d̪ ʌ ʋ a
සහයොන්,s ʌ h ʌ j o n̪
සහයෝ,s ʌ h ʌ j oː
සහයෝග,s ʌ h ʌ j oː ɡ ə
සහයෝගතා,s ʌ h ʌ j oː ɡ ʌ t̪
සහයෝගතාව,s ʌ h ʌ j oː ɡ ʌ t̪ aː ʋ ə
සහයෝගතාවට,s ʌ h ʌ j oː ɡ ʌ t̪ aː ʋ ʌ ʈ ə
සහයෝගතාවයේ,s ʌ h ʌ j oː ɡ ʌ t̪ aː ʋ ʌ j eː
සහයෝගතාවාදී,s ʌ h ʌ j oː ɡ ʌ t̪ aː ʋ a d̪ iː
සහයෝගතාවේ,s ʌ h ʌ j oː ɡ ʌ t̪ aː ʋ eː
සහයෝගතාසම්පර්කයට,s ʌ h ʌ j oː ɡ ʌ t̪ aː s ʌ m p ʌ r k ʌ j ʌ ʈ ə
සහයෝගයකි,s ʌ h ʌ j oː ɡ ʌ j ʌ k i
සහයෝගයකින්,s ʌ h ʌ j oː ɡ ʌ j ʌ k i n̪
සහයෝගයක්,s ʌ h ʌ j oː ɡ ʌ j ʌ k
සහයෝගයක්ම,s ʌ h ʌ j oː ɡ ʌ j ʌ k m ə
සහයෝගයට,s ʌ h ʌ j oː ɡ ʌ j ʌ ʈ ə
සහයෝගයත්,s ʌ h ʌ j oː ɡ ʌ j ʌ t̪
සහයෝගයද,s ʌ h ʌ j oː ɡ ʌ j ʌ d̪ ə
සහයෝගයනේ,s ʌ h ʌ j oː ɡ ʌ j ʌ n̪ eː
සහයෝගයන්,s ʌ h ʌ j oː ɡ ʌ j ʌ n̪
සහයෝගයෙන,s ʌ h ʌ j oː ɡ ʌ j e n̪ ə
සහයෝගයෙනි,s ʌ h ʌ j oː ɡ ʌ j e n̪ i
සහයෝගයෙන්,s ʌ h ʌ j oː ɡ ʌ j e n̪
සහයෝගයෙහි,s ʌ h ʌ j oː ɡ ʌ j e h i
සහයෝගයේ,s ʌ h ʌ j oː ɡ ʌ j eː
සහයෝගශීලිත්වයකුත්,s ʌ h ʌ j oː ɡ ʌ ʃ iː l i t̪ ʋ ʌ j ʌ k u t̪
සහයෝගශීලී,s ʌ h ʌ j oː ɡ ʌ ʃ iː l iː
සහයෝගාත්මක,s ʌ h ʌ j oː ɡ aː t̪ m ʌ k ə
සහයෝගිකයෝ,s ʌ h ʌ j oː ɡ i k ʌ j oː
සහයෝගිතා,s ʌ h ʌ j oː ɡ i t̪
සහයෝගිතාවකට,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ k ʌ ʈ ə
සහයෝගිතාවකින්,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ k i n̪
සහයෝගිතාවක්,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ k
සහයෝගිතාවට,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ ʈ ə
සහයෝගිතාවත්,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ t̪
සහයෝගිතාවය,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ j ə
සහයෝගිතාවයකට,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ j ʌ k ʌ ʈ ə
සහයෝගිතාවයක්,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ j ʌ k
සහයෝගිතාවයට,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ j ʌ ʈ ə
සහයෝගිතාවයද,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ j ʌ d̪ ə
සහයෝගිතාවයෙන්,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ j e n̪
සහයෝගිතාවයේ,s ʌ h ʌ j oː ɡ i t̪ aː ʋ ʌ j eː
සහයෝගිත්වයෙන්,s ʌ h ʌ j oː ɡ i t̪ ʋ ʌ j e n̪
සහයෝගියෙකි,s ʌ h ʌ j oː ɡ i j e k i
සහයෝගීතා,s ʌ h ʌ j oː ɡ iː t̪
සහයෝගීතාවකට,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ k ʌ ʈ ə
සහයෝගීතාවකින්මෙම,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ k i n̪ m e m ə
සහයෝගීතාවක්,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ k
සහයෝගීතාවට,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ ʈ ə
සහයෝගීතාවත්,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ t̪
සහයෝගීතාවයකින්,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ j ʌ k i n̪
සහයෝගීතාවයක්,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ j ʌ k
සහයෝගීතාවයට,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ j ʌ ʈ ə
සහයෝගීතාවයි,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ j i
සහයෝගීතාවයෙන්,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ j e n̪
සහයෝගීතාවයේ,s ʌ h ʌ j oː ɡ iː t̪ aː ʋ ʌ j eː
සහයෝගීත්වය,s ʌ h ʌ j oː ɡ iː t̪ ʋ ʌ j ə
සහයෝගීව,s ʌ h ʌ j oː ɡ iː ʋ ə
සහයෝලයත්,s ʌ h ʌ j oː l ʌ j ʌ t̪
සහය්,s ʌ h ʌ j
සහරජ,s ʌ h ʌ r ʌ ʤ ə
සහරවිට,s ʌ h ʌ r ʌ ʋ i ʈ ə
සහරා,s ʌ h ʌ r
සහරාජ,s ʌ h ʌ r aː ʤ ə
සහරාව,s ʌ h ʌ r aː ʋ ə
සහරාවක්,s ʌ h ʌ r aː ʋ ʌ k
සහරාවට,s ʌ h ʌ r aː ʋ ʌ ʈ ə
සහරාවත්,s ʌ h ʌ r aː ʋ ʌ t̪
සහරාවේ,s ʌ h ʌ r aː ʋ eː
සහර්,s ʌ h ʌ r
සහල,s ʌ h ʌ l ə
සහලක්,s ʌ h ʌ l ʌ k
සහලඟර,s ʌ h ʌ l ʌ ŋɡ ʌ r ə
සහලඟුරු,s ʌ h ʌ l ʌ ŋɡ u r u
සහලඟුරොත,s ʌ h ʌ l ʌ ŋɡ u r o t̪ ə
සහලින්,s ʌ h ʌ l i n̪
සහලු,s ʌ h ʌ l u
සහලෙන්,s ʌ h ʌ l e n̪
සහලේනෑයෝ,s ʌ h ʌ l eː n̪ æː j oː
සහලේනෑයෝද,s ʌ h ʌ l eː n̪ æː j oː d̪ ə
සහලෝලා,s ʌ h ʌ l oː l
සහල්,s ʌ h ʌ l
සහල්කර,s ʌ h ʌ l k ʌ r ə
සහල්ද,s ʌ h ʌ l d̪ ə
සහල්දාමය,s ʌ h ʌ l d̪ aː m ʌ j ə
සහල්නැළියක්,s ʌ h ʌ l n̪ æ ɭ i j ʌ k
සහල්ම,s ʌ h ʌ l m ə
සහල්වල,s ʌ h ʌ l ʋ ʌ l ə
සහල්වලට,s ʌ h ʌ l ʋ ʌ l ʌ ʈ ə
සහල්වලින්,s ʌ h ʌ l ʋ ʌ l i n̪
සහවනුවා,s ʌ h ʌ ʋ ʌ n̪ u ʋ a
සහවාදයක්,s ʌ h ʌ ʋ a d̪ ʌ j ʌ k
සහවාස,s ʌ h ʌ ʋ a s ə
සහවාසකයා,s ʌ h ʌ ʋ a s ʌ k ʌ j
සහවාසයක,s ʌ h ʌ ʋ a s ʌ j ʌ k ə
සහවාසයක්,s ʌ h ʌ ʋ a s ʌ j ʌ k
සහවාසයට,s ʌ h ʌ ʋ a s ʌ j ʌ ʈ ə
සහවාසයෙන්,s ʌ h ʌ ʋ a s ʌ j e n̪
සහවාසයේ,s ʌ h ʌ ʋ a s ʌ j eː
සහවාසවූවාද,s ʌ h ʌ ʋ a s ʌ ʋ uː ʋ a d̪ ə
සහවාසිකයන්ට,s ʌ h ʌ ʋ a s i k ʌ j ʌ n̪ ʈ ə
සහවාසිකයාත්,s ʌ h ʌ ʋ a s i k ʌ j aː t̪
සහවාසියකු,s ʌ h ʌ ʋ a s i j ʌ k u
සහවාසී,s ʌ h ʌ ʋ a s iː
සහවාසෙය්‍ය,s ʌ h ʌ ʋ a s e j ‍ j ə
සහවික,s ʌ h ʌ ʋ i k ə
සහවිවිධ,s ʌ h ʌ ʋ i ʋ i d̪ʱ ə
සහවුන්,s ʌ h ʌ ʋ u n̪
සහව්‍යතා,s ʌ h ʌ ʋ ‍ j ʌ t̪
සහව්‍යතාව,s ʌ h ʌ ʋ ‍ j ʌ t̪ aː ʋ ə
සහව්‍යතාවට,s ʌ h ʌ ʋ ‍ j ʌ t̪ aː ʋ ʌ ʈ ə
සහව්‍යතාවයක්,s ʌ h ʌ ʋ ‍ j ʌ t̪ aː ʋ ʌ j ʌ k
සහව්‍යතාවෙනි,s ʌ h ʌ ʋ ‍ j ʌ t̪ aː ʋ e n̪ i
සහශාස්වත,s ʌ h ʌ ʃ aː s ʋ ʌ t̪ ə
සහශ්‍ර,s ʌ h ʌ ʃ ‍ r ə
සහශ්‍රක,s ʌ h ʌ ʃ ‍ r ʌ k ə
සහශ්‍රකය,s ʌ h ʌ ʃ ‍ r ʌ k ʌ j ə
සහශ්‍රකයක,s ʌ h ʌ ʃ ‍ r ʌ k ʌ j ʌ k ə
සහශ්‍රකයේ,s ʌ h ʌ ʃ ‍ r ʌ k ʌ j eː
සහශ්‍රයන්,s ʌ h ʌ ʃ ‍ r ʌ j ʌ n̪
සහශ්‍රයේ,s ʌ h ʌ ʃ ‍ r ʌ j eː
සහශ්‍රයේදීත්,s ʌ h ʌ ʃ ‍ r ʌ j eː d̪ iː t̪
සහශ්‍රවර්ෂ,s ʌ h ʌ ʃ ‍ r ʌ ʋ ʌ r ʂ ə
සහශ්‍රා,s ʌ h ʌ ʃ ‍ r
සහශ්‍රාභිෂේක,s ʌ h ʌ ʃ ‍ r aː bʱ i ʂ eː k ə
සහශ්‍රී,s ʌ h ʌ ʃ ‍ r iː
සහස,s ʌ h ʌ s ə
සහසංයුජ,s ʌ h ʌ s ʌ j u ʤ ə
සහසක්,s ʌ h ʌ s ʌ k
සහසන්ධියනය,s ʌ h ʌ s ʌ n̪ d̪ʱ i j ʌ n̪ ʌ j ə
සහසන්ධීය,s ʌ h ʌ s ʌ n̪ d̪ʱ iː j ə
සහසබඳතාවක්,s ʌ h ʌ s ʌ b ʌ ඳ t̪ aː ʋ ʌ k
සහසබඳතාවය,s ʌ h ʌ s ʌ b ʌ ඳ t̪ aː ʋ ʌ j ə
සහසම්න්ධයකින්,s ʌ h ʌ s ʌ m n̪ d̪ʱ ʌ j ʌ k i n̪
සහසම්බන්ධ,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ə
සහසම්බන්ධතා,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ t̪
සහසම්බන්ධතාව,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ t̪ aː ʋ ə
සහසම්බන්ධතාවක්,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ t̪ aː ʋ ʌ k
සහසම්බන්ධතාවය,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ t̪ aː ʋ ʌ j ə
සහසම්බන්ධතාවයකින්,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ t̪ aː ʋ ʌ j ʌ k i n̪
සහසම්බන්ධයකට,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ j ʌ k ʌ ʈ ə
සහසම්බන්ධයක්,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ j ʌ k
සහසම්බන්ධයන්,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ j ʌ n̪
සහසම්බන්ධයන්ගෙන්,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ j ʌ n̪ ɡ e n̪
සහසම්බන්ධයේ,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ j eː
සහසම්බන්ධව,s ʌ h ʌ s ʌ m b ʌ n̪ d̪ʱ ʌ ʋ ə
සහසස,s ʌ h ʌ s ʌ s ə
සහසසනති,s ʌ h ʌ s ʌ s ʌ n̪ ʌ t̪ i
සහසසානි,s ʌ h ʌ s ʌ s aː n̪ i
සහසසාහි,s ʌ h ʌ s ʌ s aː h i
සහසසිම,s ʌ h ʌ s ʌ s i m ə
සහසා,s ʌ h ʌ s
සහසාධනයට,s ʌ h ʌ s aː d̪ʱ ʌ n̪ ʌ j ʌ ʈ ə
සහසිකයන්,s ʌ h ʌ s i k ʌ j ʌ n̪
සහසියුස්ගෙ,s ʌ h ʌ s i j u s ɡ e
සහසිසුන්,s ʌ h ʌ s i s u n̪
සහසු,s ʌ h ʌ s u
සහසුකරන,s ʌ h ʌ s u k ʌ r ʌ n̪ ə
සහසුදක්,s ʌ h ʌ s u d̪ ʌ k
සහසුද්දෙන්,s ʌ h ʌ s u d̪ d̪ e n̪
සහසුද්දෙන්ම,s ʌ h ʌ s u d̪ d̪ e n̪ m ə
සහසුද්දෙම්,s ʌ h ʌ s u d̪ d̪ e m
සහසුද්ධ,s ʌ h ʌ s u d̪ d̪ʱ ə
සහසුන්,s ʌ h ʌ s u n̪
සහසෙය්‍ය,s ʌ h ʌ s e j ‍ j ə
සහසෙසති,s ʌ h ʌ s e s ʌ t̪ i
සහසෙසන,s ʌ h ʌ s e s ʌ n̪ ə
සහස්,s ʌ h ʌ s
සහස්ත්‍යාභරණයෙන්,s ʌ h ʌ s t̪ ‍ j aː bʱ ʌ r ʌ ɳ ʌ j e n̪
සහස්‍රක,s ʌ h ʌ s ‍ r ʌ k ə
සහස්‍රකය,s ʌ h ʌ s ‍ r ʌ k ʌ j ə
සහස්‍රකයක්,s ʌ h ʌ s ‍ r ʌ k ʌ j ʌ k
සහස්‍රකයට,s ʌ h ʌ s ‍ r ʌ k ʌ j ʌ ʈ ə
සහස්‍රකයෙහි,s ʌ h ʌ s ‍ r ʌ k ʌ j e h i
සහස්‍රකයේ,s ʌ h ʌ s ‍ r ʌ k ʌ j eː
සහස්‍රනේත්‍රධාරී,s ʌ h ʌ s ‍ r ʌ n̪ eː t̪ ‍ r ʌ d̪ʱ aː r iː
සහස්‍රමෙක,s ʌ h ʌ s ‍ r ʌ m e k ə
සහස්‍රය,s ʌ h ʌ s ‍ r ʌ j ə
සහස්‍රයකට,s ʌ h ʌ s ‍ r ʌ j ʌ k ʌ ʈ ə
සහස්‍රයට,s ʌ h ʌ s ‍ r ʌ j ʌ ʈ ə
සහස්‍රයන්,s ʌ h ʌ s ‍ r ʌ j ʌ n̪
සහස්‍රයන්ගේ,s ʌ h ʌ s ‍ r ʌ j ʌ n̪ ɡ eː
සහස්‍රයෙන්,s ʌ h ʌ s ‍ r ʌ j e n̪
සහස්‍රයේ,s ʌ h ʌ s ‍ r ʌ j eː
සහස්‍රාක්ෂ,s ʌ h ʌ s ‍ r aː k ʂ ə
සහස්‍රී,s ʌ h ʌ s ‍ r iː
සහස්ශ්‍රකයේ,s ʌ h ʌ s ʃ ‍ r ʌ k ʌ j eː
සහස්ස,s ʌ h ʌ s s ə
සහස්සත්තුප්පකරණ,s ʌ h ʌ s s ʌ t̪ t̪ u p p ʌ k ʌ r ʌ ɳ ə
සහස්සන,s ʌ h ʌ s s ʌ n̪ ə
සහස්සවත්තුවෙහි,s ʌ h ʌ s s ʌ ʋ ʌ t̪ t̪ u ʋ e h i
සහස්සවත්ථුප්පකරණ,s ʌ h ʌ s s ʌ ʋ ʌ t̪ t̪ʰ u p p ʌ k ʌ r ʌ ɳ ə
සහස්සවත්ථුප්පකරණය,s ʌ h ʌ s s ʌ ʋ ʌ t̪ t̪ʰ u p p ʌ k ʌ r ʌ ɳ ʌ j ə
